,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
responden 380,4,4,3,4,3,4,1,3
responden 381,4,3,3,4,3,3,1,1
responden 382,3,3,3,4,2,3,1,3
responden 383,4,3,3,4,2,4,3,3
responden 384,3,2,1,4,3,3,1,2
responden 385,3,3,2,4,3,4,3,3
responden 386,4,3,2,4,3,3,1,3
responden 387,3,2,4,3,2,4,1,1
responden 388,3,3,4,4,2,3,2,4
responden 389,4,4,4,4,3,4,0,2
responden 390,3,2,1,3,2,3,1,3
responden 391,4,3,3,2,1,1,3,1
responden 392,4,3,2,4,3,4,1,3
responden 393,3,1,1,4,2,2,1,2
responden 394,4,2,3,4,3,3,2,3
responden 395,3,4,3,4,3,3,2,4
responden 396,4,2,1,4,3,4,0,2
responden 397,3,1,4,4,3,3,1,2
responden 398,3,2,3,4,1,3,1,3
responden 399,4,3,4,3,2,3,2,2
responden 400,3,3,4,4,3,2,4,4
responden 401,4,4,3,4,3,4,1,3
responden 402,3,3,3,3,1,3,1,3
responden 403,4,3,3,4,2,3,0,3
responden 404,4,3,3,4,1,3,1,3
responden 405,3,2,3,4,2,3,1,3
responden 406,4,1,1,3,2,3,0,2
responden 407,3,3,2,3,2,3,2,2
responden 408,4,2,1,4,3,4,0,2
responden 409,3,3,3,4,2,4,2,2
responden 410,4,2,1,4,3,4,2,3
responden 411,3,3,1,4,2,4,2,3
responden 412,3,3,3,3,2,3,3,3
responden 413,4,4,2,4,3,4,2,3
responden 414,3,1,1,3,3,3,1,3
responden 415,3,2,1,3,1,2,2,2
responden 416,3,1,1,3,3,1,1,3
responden 417,4,4,4,4,3,4,2,4
responden 418,3,3,3,3,2,4,0,3
responden 419,3,3,4,4,4,4,1,4
responden 420,4,3,3,4,2,4,1,2
responden 421,4,1,1,4,3,4,2,3
responden 422,3,3,3,3,3,4,1,3
responden 423,4,3,2,3,1,3,2,4
responden 424,3,3,2,4,3,3,1,2
responden 425,4,2,3,4,3,4,1,3
responden 426,4,4,4,1,4,1,3,1
responden 427,3,3,3,4,3,2,1,3
responden 428,4,4,3,4,3,3,1,4
responden 429,3,1,1,3,3,3,1,3
responden 430,4,3,1,4,1,4,1,4
responden 431,3,3,1,2,3,3,1,2
responden 432,2,1,1,4,3,4,2,2
responden 433,3,3,1,4,2,4,1,4
responden 434,3,2,3,4,3,4,1,2
responden 435,4,1,3,4,1,2,1,3
responden 436,3,2,3,4,2,3,1,2
responden 437,3,2,0,3,2,4,1,3
responden 438,4,1,1,4,2,4,1,3
responden 439,3,3,2,3,2,3,1,1
responden 440,3,4,3,4,4,4,2,3
responden 441,4,2,3,4,1,4,1,2
responden 442,3,1,1,4,3,3,1,3
responden 443,4,3,1,2,2,4,3,4
responden 444,4,4,4,4,1,4,0,4
responden 445,3,2,1,4,2,3,2,3
responden 446,3,2,3,4,2,4,1,3
responden 447,4,2,4,4,2,4,1,4
responden 448,2,1,1,2,2,2,2,2
responden 449,2,0,0,3,3,3,1,2
responden 450,4,3,3,4,3,4,1,2
responden 451,3,2,3,3,3,2,1,2
responden 452,4,3,3,4,3,4,3,4
responden 453,4,1,1,4,4,4,1,2
responden 454,3,3,3,3,1,2,1,2
responden 455,4,4,4,4,4,3,0,4
responden 456,4,4,2,4,3,4,2,4
responden 457,4,3,2,3,4,3,1,3
responden 458,3,1,1,4,2,2,1,2
responden 459,3,2,3,3,3,3,1,3
responden 460,4,3,2,4,3,3,2,3
responden 461,3,3,3,3,1,4,1,3
responden 462,4,3,4,4,4,4,1,4
responden 463,3,1,1,3,1,2,1,3
responden 464,4,3,3,4,3,3,1,3
responden 465,3,3,2,3,3,3,1,3
responden 466,4,1,1,4,4,4,1,3
responden 467,4,2,2,4,3,3,3,3
responden 468,3,2,3,4,3,3,2,3
responden 469,4,3,4,3,1,3,2,2
responden 470,3,2,3,4,3,3,2,3
responden 471,3,3,3,4,2,3,2,3
